source,target,value
1Hg3xpt3y4EApuCEB8wfotBWYex1wB5EkN,15D53stooH3QKghv7q3efyQS5SGtCxJdNu,74268665
1Hg3xpt3y4EApuCEB8wfotBWYex1wB5EkN,1SGxktUnLZ4JG4r2TtsKMN9txf3Boq4Ln,86670509
1EWGuV3zWdWfPDZKGn6poBjZMMemTvLr45,1Hg3xpt3y4EApuCEB8wfotBWYex1wB5EkN,236998450
15D53stooH3QKghv7q3efyQS5SGtCxJdNu,1DvpkEiLcYUMXAvYWBHxRXKriWDe3GbiXw,51173905
15D53stooH3QKghv7q3efyQS5SGtCxJdNu,1XBNWv4w5ePWagprYnqWMDjLpoY1iQe4E,100000000
1Hg3xpt3y4EApuCEB8wfotBWYex1wB5EkN,15D53stooH3QKghv7q3efyQS5SGtCxJdNu,169939174
1SGxktUnLZ4JG4r2TtsKMN9txf3Boq4Ln,1Cwx7WxHEeLV4nHLTC8Q1rVFYLsae9kekH,3752866
1SGxktUnLZ4JG4r2TtsKMN9txf3Boq4Ln,1JSmeZC5vLxWMnubD34Q4x5EGAb97crdq9,85373892
1Hg3xpt3y4EApuCEB8wfotBWYex1wB5EkN,1SGxktUnLZ4JG4r2TtsKMN9txf3Boq4Ln,169939174
1EWGuV3zWdWfPDZKGn6poBjZMMemTvLr45,1Jn58cfvxSZ4Q8nH4f9LFCXKUyH7Xr9e8U,67005036
1EWGuV3zWdWfPDZKGn6poBjZMMemTvLr45,1Hg3xpt3y4EApuCEB8wfotBWYex1wB5EkN,169939174
1PR1NwihxUJ6chYX7YPyDqbhgQ7G6Q866D,1EWGuV3zWdWfPDZKGn6poBjZMMemTvLr45,239757370
