origin,destination,value
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000
1FWzb8Qdd8aUjBdMVqLiwPhTtsPba8eGph,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1FWzb8Qdd8aUjBdMVqLiwPhTtsPba8eGph,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1FWzb8Qdd8aUjBdMVqLiwPhTtsPba8eGph,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
1FWzb8Qdd8aUjBdMVqLiwPhTtsPba8eGph,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000
1JdcGEavVt79iZ3xMiHW8nnzngqA5phN9H,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1JdcGEavVt79iZ3xMiHW8nnzngqA5phN9H,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1JdcGEavVt79iZ3xMiHW8nnzngqA5phN9H,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
1JdcGEavVt79iZ3xMiHW8nnzngqA5phN9H,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000
1BsFoY3PeBfjnzEGyY186FW7veaZwjy3fm,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1BsFoY3PeBfjnzEGyY186FW7veaZwjy3fm,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1BsFoY3PeBfjnzEGyY186FW7veaZwjy3fm,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
1BsFoY3PeBfjnzEGyY186FW7veaZwjy3fm,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
